"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"counter",3,7,0,0,0,0,2,2,0,0,0,0,4,9,0,2,0,15,3,1,0,0
"covers",5,1,4,4,2,0,2,1,2,1,5,2,0,0,0,1,0,0,1,1,1,3
"cracks",3,2,4,1,0,0,5,1,3,0,0,0,1,0,0,2,0,3,1,4,0,0
"crap",5,3,5,0,2,2,3,0,0,2,0,0,0,0,0,0,2,1,1,1,0,1
"crash",4,2,6,1,0,0,2,0,0,0,2,3,1,0,0,0,0,0,4,2,1,0
"crashes",3,2,12,2,0,0,1,1,0,1,1,2,2,0,0,0,2,3,2,4,1,0
"crawling",1,0,0,1,0,0,1,1,0,1,0,5,3,0,0,0,2,2,0,2,0,0
"cross",1,2,6,3,3,2,0,0,1,2,1,2,0,0,1,1,0,3,2,2,3,0
"crowded",1,3,2,2,0,0,0,0,1,0,0,1,4,2,0,1,0,1,0,3,0,2
"crying",1,2,3,10,0,0,5,0,1,1,3,2,0,1,0,2,0,0,4,0,3,0
"curious",5,2,1,5,0,0,0,0,3,1,1,3,0,0,0,0,0,3,1,3,1,0
"current",3,1,1,1,2,2,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0
"cuts",4,1,6,5,1,1,1,0,0,0,2,3,2,0,2,1,0,0,2,0,1,5
